appid,game_name,concurrent_players,collected_at
1778820,TEKKEN 8,5973,2025-12-30 20:54:19.955742
271590,Grand Theft Auto V,106206,2025-12-30 21:04:23.103278
1811260,EA SPORTS FC™ 26,950,2025-12-30 21:04:23.103278
730,Counter-Strike 2,1268805,2025-12-30 21:04:23.103278
578080,PUBG: Battlegrounds,178195,2025-12-30 21:04:23.103278
1172470,Apex Legends,55095,2025-12-30 21:04:23.103278
570,Dota 2,667799,2025-12-30 21:04:23.103278
1778820,TEKKEN 8,5895,2025-12-30 21:04:23.103278
271590,Grand Theft Auto V,103789,2025-12-30 21:14:25.695296
1811260,EA SPORTS FC™ 26,950,2025-12-30 21:14:25.695296
730,Counter-Strike 2,1236394,2025-12-30 21:14:25.695296
578080,PUBG: Battlegrounds,166081,2025-12-30 21:14:25.695296
1172470,Apex Legends,53702,2025-12-30 21:14:25.695296
570,Dota 2,650668,2025-12-30 21:14:25.695296
1778820,TEKKEN 8,5895,2025-12-30 21:14:25.695296
271590,Grand Theft Auto V,103789,2025-12-30 21:24:33.650322
1811260,EA SPORTS FC™ 26,914,2025-12-30 21:24:33.650322
730,Counter-Strike 2,1236394,2025-12-30 21:24:33.650322
578080,PUBG: Battlegrounds,166081,2025-12-30 21:24:33.650322
1172470,Apex Legends,53702,2025-12-30 21:24:33.650322
570,Dota 2,650668,2025-12-30 21:24:33.650322
1778820,TEKKEN 8,5878,2025-12-30 21:24:33.650322
271590,Grand Theft Auto V,101559,2025-12-30 21:34:36.306688
1811260,EA SPORTS FC™ 26,914,2025-12-30 21:34:36.306688
730,Counter-Strike 2,1213975,2025-12-30 21:34:36.306688
578080,PUBG: Battlegrounds,156665,2025-12-30 21:34:36.306688
1172470,Apex Legends,52410,2025-12-30 21:34:36.306688
570,Dota 2,632977,2025-12-30 21:34:36.306688
1778820,TEKKEN 8,5878,2025-12-30 21:34:36.306688
271590,Grand Theft Auto V,101559,2025-12-30 21:44:39.769984
1811260,EA SPORTS FC™ 26,892,2025-12-30 21:44:39.769984
730,Counter-Strike 2,1213975,2025-12-30 21:44:39.769984
578080,PUBG: Battlegrounds,156665,2025-12-30 21:44:39.769984
1172470,Apex Legends,52410,2025-12-30 21:44:39.769984
570,Dota 2,632977,2025-12-30 21:44:39.769984
1778820,TEKKEN 8,5817,2025-12-30 21:44:39.769984
271590,Grand Theft Auto V,98953,2025-12-30 21:54:42.366586
1811260,EA SPORTS FC™ 26,892,2025-12-30 21:54:42.366586
730,Counter-Strike 2,1163539,2025-12-30 21:54:42.366586
578080,PUBG: Battlegrounds,146480,2025-12-30 21:54:42.366586
1172470,Apex Legends,51201,2025-12-30 21:54:42.366586
570,Dota 2,611981,2025-12-30 21:54:42.366586
1778820,TEKKEN 8,5817,2025-12-30 21:54:42.366586
271590,Grand Theft Auto V,98953,2025-12-30 22:04:45.602691
1811260,EA SPORTS FC™ 26,858,2025-12-30 22:04:45.602691
730,Counter-Strike 2,1163539,2025-12-30 22:04:45.602691
578080,PUBG: Battlegrounds,146480,2025-12-30 22:04:45.602691
1172470,Apex Legends,51201,2025-12-30 22:04:45.602691
570,Dota 2,611981,2025-12-30 22:04:45.602691
1778820,TEKKEN 8,5768,2025-12-30 22:04:45.602691
271590,Grand Theft Auto V,95327,2025-12-30 22:14:48.194814
1811260,EA SPORTS FC™ 26,858,2025-12-30 22:14:48.194814
730,Counter-Strike 2,1126419,2025-12-30 22:14:48.194814
578080,PUBG: Battlegrounds,136176,2025-12-30 22:14:48.194814
1172470,Apex Legends,49885,2025-12-30 22:14:48.194814
570,Dota 2,590867,2025-12-30 22:14:48.194814
1778820,TEKKEN 8,5768,2025-12-30 22:14:48.194814
271590,Grand Theft Auto V,95327,2025-12-30 22:24:51.319312
1811260,EA SPORTS FC™ 26,799,2025-12-30 22:24:51.319312
730,Counter-Strike 2,1126419,2025-12-30 22:24:51.319312
